City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
302,Konstantinovka,49.62,127.98,46.38,95,100,5.95,RU,moderate rain
303,Qaqortoq,60.72,-46.03,41.0,65,20,6.93,GL,few clouds
304,Skiathos,39.16,23.49,66.99,72,0,5.48,GR,clear sky
305,Pizarro,4.95,-77.37,76.37,90,100,8.48,CO,moderate rain
306,Tanhacu,-14.02,-41.25,92.41,15,0,6.58,BR,clear sky
307,Kaitangata,-46.28,169.85,53.01,80,100,20.0,NZ,light rain
308,Boa Vista,2.82,-60.67,96.8,37,75,6.93,BR,broken clouds
309,Saint Anthony,45.02,-93.22,52.0,49,90,1.79,US,overcast clouds
310,Golden,39.76,-105.22,66.0,29,5,6.93,US,clear sky
311,Tual,-5.67,132.75,80.38,83,100,17.52,ID,moderate rain
312,Marquette,46.53,-87.63,45.0,82,98,3.29,US,overcast clouds
313,Touros,-5.2,-35.46,82.4,61,95,13.87,BR,overcast clouds
314,Victoria,22.29,114.16,82.0,81,100,6.67,HK,overcast clouds
315,Gerash,27.67,54.14,78.8,29,0,5.59,IR,clear sky
316,Cayenne,4.93,-52.33,86.0,66,50,11.41,GF,scattered clouds
317,Toowoomba,-27.55,151.97,54.0,100,85,9.17,AU,overcast clouds
318,Paredon,16.03,-93.87,86.11,60,96,17.07,MX,overcast clouds
319,Wasilla,61.58,-149.44,53.6,57,90,5.82,US,overcast clouds
320,Berdigestyakh,62.1,126.7,22.26,96,0,4.47,RU,clear sky
321,Presidencia Roque Saenz Pena,-26.79,-60.44,68.59,52,33,14.32,AR,scattered clouds
322,Banjar,-8.19,114.97,78.8,100,40,8.05,ID,scattered clouds
323,Dingwall,57.6,-4.43,48.0,100,100,3.36,GB,moderate rain
324,Perth,-31.93,115.83,52.0,87,75,3.36,AU,broken clouds
325,Mitu,1.2,-70.17,90.23,52,54,2.33,CO,broken clouds
326,Alice Springs,-23.7,133.88,80.6,13,7,25.28,AU,clear sky
327,Nsanje,-16.92,35.26,76.57,60,48,5.91,MW,scattered clouds
328,Le Port,-20.94,55.29,71.6,83,28,11.41,RE,scattered clouds
329,Erzin,36.96,36.2,78.01,74,0,1.57,TR,clear sky
330,Caraballeda,10.61,-66.85,82.99,73,91,7.96,VE,overcast clouds
331,Hidalgo,20.5,-99.0,62.98,59,88,8.66,MX,overcast clouds
332,Meulaboh,4.14,96.13,77.09,80,100,6.76,ID,overcast clouds
333,Aswan,24.09,32.91,89.26,15,0,12.64,EG,clear sky
334,Najran,17.49,44.13,75.2,23,0,4.7,SA,clear sky
335,Flinders,-34.58,150.86,64.99,76,95,11.99,AU,overcast clouds
336,Launceston,-41.45,147.17,55.0,93,90,2.08,AU,light rain
337,Muli,2.92,73.57,80.31,78,100,11.7,MV,moderate rain
338,Teguise,29.06,-13.56,73.4,83,75,13.87,ES,light intensity drizzle
339,Yumen,40.28,97.2,36.86,60,46,17.6,CN,scattered clouds
340,Yerbogachen,61.28,108.01,30.63,98,98,7.92,RU,overcast clouds
341,Muyezerskiy,63.93,31.65,44.06,95,54,6.53,RU,broken clouds
342,Intipuca,13.2,-88.05,89.6,74,20,5.82,SV,few clouds
343,Svetlogorsk,52.63,29.73,57.65,79,88,10.02,BY,overcast clouds
344,Ginda,30.69,78.49,58.62,48,0,5.23,IN,clear sky
345,Katherine,-14.47,132.27,78.8,44,100,5.82,AU,overcast clouds
346,Svetlyy,54.67,20.13,60.8,82,70,15.66,RU,broken clouds
347,Arrecife,28.96,-13.55,73.4,83,75,13.87,ES,light intensity drizzle
348,Saint-Joseph,-21.37,55.62,73.4,78,75,17.22,RE,broken clouds
349,Khasan,42.43,130.64,51.24,84,0,3.96,RU,clear sky
350,Laguna,38.42,-121.42,86.0,42,1,5.82,US,haze
351,Vestmanna,62.16,-7.17,48.2,100,100,6.93,FO,light intensity drizzle
352,Usogorsk,63.41,48.69,33.6,90,0,3.13,RU,clear sky
353,Arlit,18.74,7.39,98.31,19,39,12.39,NE,scattered clouds
354,Wynyard,-41.0,145.72,53.01,90,100,4.0,AU,light rain
355,Mormugao,15.4,73.8,78.8,88,75,5.82,IN,heavy intensity rain
356,Chicama,-7.84,-79.15,72.09,60,87,10.98,PE,overcast clouds
357,Cabo San Lucas,22.89,-109.91,91.99,52,5,11.41,MX,clear sky
358,Kyra,49.58,111.98,25.92,88,29,7.36,RU,scattered clouds
359,Puerto Quijarro,-17.78,-57.77,104.16,17,100,3.83,BO,overcast clouds
360,Yatou,37.15,122.38,57.65,76,6,4.7,CN,clear sky
361,Esmeraldas,-19.76,-44.31,95.0,20,88,13.87,BR,overcast clouds
